Outs,1B,2B,3B,RunEnv_,wOBA,RE,count,State,,,,,
2,0,0,0,4,0.4,0.1469,177,1,,,,,
2,0,0,0,5,0.36,0.1271,364,1,,,,,
2,0,0,0,4.5,0.25,0,4,1,,,,,
2,0,0,0,3.75,0.3,0.0698,430,1,,,,,
2,0,0,0,4.5,0.33,0.1026,7549,1,,,,,
2,0,0,0,4,0.37,0.1216,2164,1,,,,,
2,0,0,0,4.75,0.31,0.0841,1498,1,,,,,
2,0,0,0,5,0.28,0.0952,21,1,,,,,
2,0,0,0,4.75,0.27,0,59,1,,,,,
2,0,0,0,4,0.34,0.1048,6217,1,,,,,
2,0,0,0,4.5,0.35,0.1211,5025,1,,,,,
2,0,0,0,5,0.3,0.1038,212,1,,,,,
2,0,0,0,4.75,0.33,0.1047,2294,1,,,,,
2,0,0,0,4,0.31,0.0735,6302,1,,,,,
2,0,0,0,5,0.37,0.148,250,1,,,,,
2,0,0,0,4.25,0.41,0.1863,204,1,,,,,
2,0,0,0,4.75,0.36,0.1398,1203,1,,,,,
2,0,0,0,4.75,0.26,0,15,1,,,,,
2,0,0,0,4.25,0.29,0.0571,2667,1,,,,,
2,0,0,0,4.5,0.37,0.1361,2031,1,,,,,
2,0,0,0,4,0.32,0.0865,7763,1,,,,,
2,0,0,0,4,0.38,0.1278,1387,1,,,,,
2,0,0,0,3.75,0.38,0.2353,17,1,,,,,
2,0,0,0,4.5,0.42,0.1613,31,1,,,,,
2,0,0,0,4,0.3,0.0773,4774,1,,,,,
2,0,0,0,4.75,0.4,0.0722,98,1,,,,,
2,0,0,0,4.25,0.35,0.118,6337,1,,,,,
2,0,0,0,3.75,0.26,0,19,1,,,,,
2,0,0,0,4.5,0.39,0.1599,639,1,,,,,
2,0,0,0,3.75,0.27,0.0108,93,1,,,,,
2,0,0,0,4.25,0.32,0.0899,10518,1,,,,,
2,0,0,0,4,0.42,0.1951,41,1,,,,,
2,0,0,0,4.25,0.42,0.3077,26,1,,,,,
2,0,0,0,4.5,0.32,0.1008,7603,1,,,,,
2,0,0,0,5,0.4,0.4074,27,1,,,,,
2,0,0,0,4,0.39,0.1175,604,1,,,,,
2,0,0,0,4.25,0.37,0.1418,2726,1,,,,,
2,0,0,0,4,0.27,0.0141,855,1,,,,,
2,0,0,0,3.75,0.37,0.141,78,1,,,,,
2,0,0,0,4.5,0.41,0.1563,160,1,,,,,
2,0,0,0,4.5,0.26,0.0256,117,1,,,,,
2,0,0,0,5,0.33,0.0952,630,1,,,,,
2,0,0,0,3.75,0.28,0.0183,109,1,,,,,
2,0,0,0,4.75,0.34,0.1175,1711,1,,,,,
2,0,0,0,5,0.39,0.1053,19,1,,,,,
2,0,0,0,4.5,0.36,0.119,3414,1,,,,,
2,0,0,0,4.75,0.37,0.1263,744,1,,,,,
2,0,0,0,4.5,0.28,0.0458,807,1,,,,,
2,0,0,0,4,0.25,0,21,1,,,,,
2,0,0,0,4.75,0.28,0.0518,193,1,,,,,
2,0,0,0,4.75,0.38,0.1213,579,1,,,,,
2,0,0,0,4.75,0.3,0.0739,935,1,,,,,
2,0,0,0,5,0.35,0.1121,544,1,,,,,
2,0,0,0,3.75,0.42,0,24,1,,,,,
2,0,0,0,4.5,0.29,0.0674,1976,1,,,,,
2,0,0,0,4.25,0.31,0.0782,7551,1,,,,,
2,0,0,0,4.25,0.27,0.028,607,1,,,,,
2,0,0,0,4.5,0.27,0.0292,344,1,,,,,
2,0,0,0,4.5,0.3,0.0817,3886,1,,,,,
2,0,0,0,3.75,0.36,0.0881,329,1,,,,,
2,0,0,0,4,0.28,0.0313,1474,1,,,,,
2,0,0,0,4.25,0.3,0.0798,4890,1,,,,,
2,0,0,0,4,0.29,0.0532,3327,1,,,,,
2,0,0,0,4.5,0.31,0.0861,5870,1,,,,,
2,0,0,0,4.25,0.25,0,5,1,,,,,
2,0,0,0,5,0.38,0.2264,159,1,,,,,
2,0,0,0,3.75,0.29,0.0172,232,1,,,,,
2,0,0,0,4,0.35,0.0957,4141,1,,,,,
2,0,0,0,4.5,0.38,0.1515,1235,1,,,,,
2,0,0,0,3.75,0.32,0.0683,586,1,,,,,
2,0,0,0,4.75,0.35,0.1486,1571,1,,,,,
2,0,0,0,3.75,0.34,0.1032,475,1,,,,,
2,0,0,0,4,0.41,0.0625,16,1,,,,,
2,0,0,0,4,0.36,0.123,3016,1,,,,,
2,0,0,0,5,0.29,0.13,100,1,,,,,
2,0,0,0,4.75,0.32,0.1043,2141,1,,,,,
2,0,0,0,3.75,0.31,0.0501,499,1,,,,,
2,0,0,0,4.25,0.39,0.1302,837,1,,,,,
2,0,0,0,4.75,0.29,0.0796,466,1,,,,,
2,0,0,0,4.25,0.28,0.0506,1265,1,,,,,
2,0,0,0,5,0.31,0.1307,284,1,,,,,
2,0,0,0,4.25,0.4,0.2259,301,1,,,,,
2,0,0,0,4.75,0.39,0.1419,155,1,,,,,
2,0,0,0,4.25,0.33,0.0942,9325,1,,,,,
2,0,0,0,4.25,0.34,0.112,7692,1,,,,,
2,0,0,0,4.5,0.34,0.1135,5962,1,,,,,
2,0,0,0,5,0.27,0,4,1,,,,,
2,0,0,0,3.75,0.4,0.2857,14,1,,,,,
2,0,0,0,4.25,0.26,0.036,111,1,,,,,
2,0,0,0,4,0.26,0.0278,144,1,,,,,
2,0,0,0,4.25,0.38,0.1484,1484,1,,,,,
2,0,0,0,5,0.34,0.1423,521,1,,,,,
2,0,0,0,4.5,0.4,0.1761,284,1,,,,,
2,0,0,0,3.75,0.33,0.0956,597,1,,,,,
2,0,0,0,3.75,0.39,0.12,50,1,,,,,
2,0,0,0,4.25,0.36,0.1105,4048,1,,,,,
2,0,0,0,4.75,0.41,0.0789,38,1,,,,,
2,0,0,0,4,0.33,0.086,7791,1,,,,,
2,0,0,0,5,0.32,0.1091,545,1,,,,,
2,0,0,0,3.75,0.35,0.108,352,1,,,,,
2,1,0,0,3.75,0.29,0.0926,108,2,,,,,
2,1,0,0,4.5,0.29,0.139,878,2,,,,,
2,1,0,0,4.5,0.31,0.2145,2712,2,,,,,
2,1,0,0,4.75,0.27,0.0476,42,2,,,,,
2,1,0,0,4.75,0.39,0.2459,61,2,,,,,
2,1,0,0,4.75,0.31,0.2075,723,2,,,,,
2,1,0,0,4.25,0.35,0.2674,2733,2,,,,,
2,1,0,0,5,0.3,0.1625,80,2,,,,,
2,1,0,0,4.75,0.33,0.1989,1068,2,,,,,
2,1,0,0,4.25,0.4,0.3577,123,2,,,,,
2,1,0,0,3.75,0.42,0,3,2,,,,,
2,1,0,0,3.75,0.35,0.2138,146,2,,,,,
2,1,0,0,4.25,0.36,0.2918,1792,2,,,,,
2,1,0,0,5,0.29,0.375,32,2,,,,,
2,1,0,0,3.75,0.26,0,10,2,,,,,
2,1,0,0,4.5,0.33,0.2176,3288,2,,,,,
